Problem Number,Question,Difficulty,Company
42,Trapping Rain Water,Hard,Goldman Sachs
1041,Robot Bounded In Circle,Medium,Goldman Sachs
3001,Minimum Moves to Capture The Queen,Medium,Goldman Sachs
387,First Unique Character in a String,Medium,Goldman Sachs
3168,Minimum Number of Chairs in a Waiting Room,Easy,Goldman Sachs
166,Fraction to Recurring Decimal,Medium,Goldman Sachs
4,Median of Two Sorted Arrays,Hard,Goldman Sachs
3167,Better Compression of String,Medium,Goldman Sachs
91,Decode Ways,Medium,Goldman Sachs
1086,High Five,Easy,Goldman Sachs
1010,Pairs of Songs With Total Durations Divisible by 60,Medium,Goldman Sachs
1823,Find the Winner of the Circular Game,Medium,Goldman Sachs
647,Palindromic Substrings,Medium,Goldman Sachs
3,Longest Substring Without Repeating Characters,Medium,Goldman Sachs
49,Group Anagrams,Medium,Goldman Sachs
273,Integer to English Words,Hard,Goldman Sachs
443,String Compression,Medium,Goldman Sachs
564,Find the Closest Palindrome,Hard,Goldman Sachs
688,Knight Probability in Chessboard,Medium,Goldman Sachs
844,Backspace String Compare,Easy,Goldman Sachs
2087,Minimum Cost Homecoming of a Robot in a Grid,Medium,Goldman Sachs
11,Container With Most Water,Medium,Goldman Sachs
23,Merge k Sorted Lists,Hard,Goldman Sachs
55,Jump Game,Medium,Goldman Sachs
122,Best Time to Buy and Sell Stock II,Medium,Goldman Sachs
152,Maximum Product Subarray,Medium,Goldman Sachs
153,Find Minimum in Rotated Sorted Array,Medium,Goldman Sachs
198,House Robber,Medium,Goldman Sachs
209,Minimum Size Subarray Sum,Medium,Goldman Sachs
264,Ugly Number II,Medium,Goldman Sachs
780,Reaching Points,Hard,Goldman Sachs
706,Design HashMap,Hard,Goldman Sachs
862,Shortest Subarray with Sum at Least K,Hard,Goldman Sachs
931,Minimum Falling Path Sum,Hard,Goldman Sachs
1109,Corporate Flight Bookings,Medium,Goldman Sachs
1116,Print Zero Even Odd,Medium,Goldman Sachs
2191,Sort the Jumbled Numbers,Medium,Goldman Sachs
1427,Perform String Shifts,Medium,Goldman Sachs
1235,Maximum Profit in Job Scheduling,Hard,Goldman Sachs
1750,Minimum Length of String After Deleting Similar Ends,Hard,Goldman Sachs
1771,Maximize Palindrome Length From Subsequences,Medium,Goldman Sachs
2097,Valid Arrangement of Pairs,Hard,Goldman Sachs
2154,Keep Multiplying Found Values by Two,Hard,Goldman Sachs
2266,Count Number of Texts,Easy,Goldman Sachs
2300,Successful Pairs of Spells and Potions,Medium,Goldman Sachs
2375,Construct Smallest Number From DI String,Medium,Goldman Sachs
2420,Find All Good Indices,Medium,Goldman Sachs
2438,Range Product Queries of Powers,Medium,Goldman Sachs
2446,Determine if Two Events Have Conflict,Medium,Goldman Sachs
2484,Count Palindromic Subsequences,Hard,Goldman Sachs
2550,Count Collisions of Monkeys on a Polygon,Hard,Goldman Sachs
